optimize_name,qubit,p_t,input_gates,seed,depth_bef,all_gates,one-qubit_gates,two-qubit gates,t,H,otherRZ,CNOT,CZ,depth_aft,time
clifford_look,8,0.0,5000,1002,1498,65,27,38,0,14,13,27,11,30,0.9319043159484863
clifford_look,8,0.04,5000,1000,1489,1083,401,682,158,169,74,454,228,717,183.71382856369019
clifford_look,8,0.04,5000,1001,1479,1181,412,769,174,180,58,524,245,793,243.77494621276855
clifford_look,8,0.04,5000,1002,1480,1128,404,724,166,173,65,482,242,719,265.80913949012756
clifford_look,8,0.08,5000,1000,1456,1794,662,1132,285,284,93,797,335,1106,554.7597377300262
clifford_look,8,0.08,5000,1001,1462,1950,718,1232,307,303,108,894,338,1240,618.6892628669739
clifford_look,8,0.08,5000,1002,1443,1820,667,1153,290,287,90,795,358,1150,553.6596164703369
clifford_look,8,0.12,5000,1000,1422,2240,838,1402,352,340,146,989,413,1283,999.4850053787231
clifford_look,8,0.12,5000,1001,1420,2333,870,1463,396,368,106,1067,396,1376,1071.8836283683777
clifford_look,8,0.12,5000,1002,1408,2308,826,1482,387,376,63,1107,375,1411,865.8100297451019
clifford_look,8,0.16,5000,1000,1391,2536,965,1571,445,406,114,1149,422,1400,843.8035480976105
clifford_look,8,0.16,5000,1001,1392,2629,1009,1620,469,426,114,1165,455,1438,1053.7874631881714
clifford_look,8,0.16,5000,1002,1381,2538,988,1550,453,404,131,1133,417,1384,1173.6918597221375
clifford_look,8,0.2,5000,1000,1363,2702,1046,1656,490,422,134,1153,503,1442,1092.3715925216675
clifford_look,8,0.2,5000,1001,1359,2887,1127,1760,525,463,139,1302,458,1619,1563.2543914318085
clifford_look,8,0.2,5000,1002,1365,2740,1056,1684,499,438,119,1277,407,1519,1761.3827965259552
clifford_look,8,0.24,5000,1000,1354,2825,1117,1708,505,448,164,1181,527,1539,1528.9993941783905
clifford_look,8,0.24,5000,1001,1339,2952,1184,1768,568,504,112,1290,478,1613,901.5103273391724
clifford_look,8,0.24,5000,1002,1331,2774,1134,1640,533,461,140,1231,409,1500,1376.8962960243225
clifford_look,8,0.28,5000,1000,1315,2885,1138,1747,541,462,135,1256,491,1594,1708.9816784858704
clifford_look,8,0.28,5000,1001,1313,2897,1189,1708,595,481,113,1250,458,1493,999.5595636367798
clifford_look,8,0.28,5000,1002,1320,2881,1156,1725,565,476,115,1264,461,1559,1543.046685218811
clifford_look,8,0.32,5000,1000,1265,2745,1130,1615,557,472,101,1168,447,1429,815.6179881095886
clifford_look,8,0.32,5000,1001,1262,2903,1216,1687,599,491,126,1188,499,1542,722.0511357784271
clifford_look,8,0.32,5000,1002,1293,2703,1150,1553,563,465,122,1121,432,1410,1140.8907227516174
clifford_look,8,0.36,5000,1000,1247,2733,1137,1596,565,466,106,1112,484,1456,1138.3413660526276
clifford_look,8,0.36,5000,1001,1240,2843,1180,1663,582,480,118,1247,416,1498,863.0463151931763
clifford_look,8,0.36,5000,1002,1250,2719,1166,1553,581,489,96,1113,440,1455,913.6918878555298
clifford_look,8,0.4,5000,1000,1224,2703,1177,1526,594,477,106,1097,429,1354,664.2107636928558
clifford_look,8,0.4,5000,1001,1220,2742,1150,1592,557,471,122,1174,418,1421,1452.100233078003
clifford_look,8,0.4,5000,1002,1217,2696,1169,1527,571,483,115,1103,424,1427,1028.4997336864471
clifford_look,12,0.0,5000,1000,1070,129,41,88,0,18,23,59,29,64,1.257054090499878
clifford_look,12,0.0,5000,1001,1053,157,60,97,0,24,36,55,42,61,1.1252415180206299
clifford_look,12,0.0,5000,1002,1080,140,53,87,0,21,32,55,32,69,1.262364149093628
clifford_look,12,0.04,5000,1000,1060,1759,517,1242,186,200,131,693,549,1068,509.9282693862915
clifford_look,12,0.04,5000,1001,1027,1698,487,1211,177,191,119,699,512,1028,645.1055970191956
clifford_look,12,0.04,5000,1002,1035,1652,456,1196,168,180,108,734,462,1026,807.5523982048035
clifford_look,12,0.08,5000,1000,1036,2802,770,2032,325,321,124,1211,821,1613,1148.357824087143
clifford_look,12,0.08,5000,1001,1018,2617,722,1895,298,298,126,1104,791,1598,1292.8652124404907
clifford_look,12,0.08,5000,1002,1006,2611,716,1895,291,300,125,1050,845,1594,1615.9942846298218
clifford_look,12,0.12,5000,1000,1029,3374,1015,2359,418,394,203,1450,909,1812,1764.2519636154175
clifford_look,12,0.12,5000,1001,987,3325,967,2358,424,405,138,1502,856,1711,2072.616639614105
clifford_look,12,0.12,5000,1002,989,3374,931,2443,416,401,114,1544,899,1949,2121.453665494919
clifford_look,12,0.16,5000,1000,1002,3721,1141,2580,488,449,204,1670,910,1895,2395.674831867218
clifford_look,12,0.16,5000,1001,958,3585,1093,2492,490,451,152,1554,938,1791,2733.52210354805
clifford_look,12,0.16,5000,1002,972,3631,1071,2560,499,455,117,1614,946,1897,3187.9194283485413
clifford_look,12,0.2,5000,1000,959,3661,1175,2486,558,480,137,1658,828,1756,1718.1192626953125
clifford_look,12,0.2,5000,1001,932,3710,1165,2545,517,464,184,1665,880,1814,2850.429364681244
clifford_look,12,0.2,5000,1002,945,3699,1161,2538,529,478,154,1549,989,1780,2698.321261405945
clifford_look,12,0.24,5000,1000,946,3610,1221,2389,577,496,148,1599,790,1718,1971.016921043396
clifford_look,12,0.24,5000,1001,911,3640,1186,2454,551,482,153,1682,772,1727,2456.6637670993805
clifford_look,12,0.24,5000,1002,932,3639,1223,2416,560,492,171,1671,745,1723,2604.983860731125
clifford_look,12,0.28,5000,1000,936,3698,1267,2431,594,506,167,1687,744,1776,1808.9072103500366
clifford_look,12,0.28,5000,1001,891,3665,1235,2430,576,503,156,1725,705,1723,2783.6275160312653
clifford_look,12,0.28,5000,1002,907,3706,1240,2466,584,491,165,1642,824,1783,2561.0607573986053
clifford_look,12,0.32,5000,1000,906,3453,1223,2230,599,480,144,1517,713,1619,2691.4378056526184
clifford_look,12,0.32,5000,1001,868,3540,1241,2299,599,513,129,1518,781,1645,1733.5050802230835
clifford_look,12,0.32,5000,1002,884,3589,1238,2351,596,492,150,1627,724,1709,2586.004648208618
clifford_look,12,0.36,5000,1000,881,3372,1213,2159,585,479,149,1444,715,1556,2970.4575567245483
clifford_look,12,0.36,5000,1001,838,3280,1219,2061,587,492,140,1486,575,1448,1655.566376209259
clifford_look,12,0.36,5000,1002,860,3391,1192,2199,594,480,118,1501,698,1572,2275.4444324970245
clifford_look,12,0.4,5000,1000,871,3164,1177,1987,580,464,133,1337,650,1418,2521.178160429001
clifford_look,12,0.4,5000,1001,815,3280,1231,2049,584,509,138,1356,693,1450,2375.892346382141
clifford_look,12,0.4,5000,1002,848,3297,1187,2110,581,455,151,1395,715,1539,2739.2467415332794
